cmun,dist,secc,poblacio,codi_edar
8019,7,107,1173,DBSS
8019,7,108,1231,DBSS
8019,7,109,1633,DBSS
8019,7,110,1025,DBSS
8019,7,111,886,DBSS
8019,7,112,1293,DBSS
8019,7,113,1188,DBSS
8019,7,114,1182,DBSS
8019,7,115,1058,DBSS
8019,7,116,1505,DBSS
8019,7,117,2662,DBSS
8019,7,118,1231,DBSS
8019,7,119,1283,DBSS
8019,7,120,1249,DBSS
8019,7,121,1145,DBSS
8019,7,122,1301,DBSS
8019,7,123,1418,DBSS
8019,8,1,1250,DBSS
8019,8,2,1243,DBSS
8019,8,3,1188,DBSS
8019,8,4,1403,DBSS
8019,8,5,1147,DBSS
8019,8,6,1605,DBSS
8019,8,7,1186,DBSS
8019,8,8,1615,DBSS
8019,8,9,1770,DBSS
8019,8,10,1074,DBSS
8019,8,11,1172,DBSS
8019,8,12,1313,DBSS
8019,8,13,1158,DBSS
8019,8,14,1287,DBSS
8019,8,15,1447,DBSS
8019,8,16,1125,DBSS
8019,8,17,1377,DBSS
8019,8,18,1503,DBSS
8019,8,19,1811,DBSS
8019,8,20,1377,DBSS
8019,8,21,1455,DBSS
8019,8,22,1242,DBSS
8019,8,23,1377,DBSS
8019,8,24,1354,DBSS
8019,8,25,1178,DBSS
8019,8,26,1374,DBSS
8019,8,27,1397,DBSS
8019,8,28,1077,DBSS
8019,8,29,1495,DBSS
8019,8,30,1491,DBSS
